date,nav,scheme_code
2007-05-06,131.81,100033
2007-05-07,136.05,100033
2007-05-09,141.44,100033
2007-05-10,155.75,100033
2007-05-11,171.06,100033
2007-05-12,183.42,100033
2007-06-02,130.72,100033
2007-06-03,114.35,100033
2007-06-06,130.17,100033
2007-06-07,136.64,100033
2007-06-08,135.96,100033
2007-06-09,142.09,100033
2007-06-11,168.77,100033
2007-06-12,183.23,100033
2007-07-02,131.8,100033
2007-07-03,113.16,100033
2007-07-05,125.06,100033
2007-07-06,129.73,100033
2007-07-08,136.34,100033
2007-07-09,141.74,100033
2007-07-11,169.48,100033
2007-07-12,183.37,100033
2007-08-01,123.64,100033
2007-08-02,131.78,100033
2007-08-03,116.78,100033
2007-08-05,123.9,100033
2007-08-06,128.83,100033
2007-08-08,138.77,100033
2007-08-10,151.19,100033
2007-08-11,167.6,100033
2007-09-01,122.93,100033
2007-09-02,130.44,100033
2007-09-03,116.05,100033
2007-09-04,120.27,100033
2007-09-05,123.58,100033
2007-09-07,137.91,100033
2007-09-08,136.8,100033
2007-09-10,157.18,100033
2007-10-01,121.27,100033
2007-10-04,120.55,100033
2007-10-05,123.63,100033
2007-10-07,137.25,100033
2007-10-08,135.26,100033
2007-10-09,142.01,100033
2007-10-10,160.69,100033
2007-10-12,183.38,100033
2007-11-01,123.3,100033
2007-11-04,120.85,100033
2007-11-05,123.78,100033
2007-11-06,129.09,100033
2007-11-07,136.93,100033
2007-11-09,142.12,100033
2007-11-10,163.14,100033
2007-11-12,186.19,100033
2007-12-01,126.58,100033
2007-12-02,126.72,100033
2007-12-03,116.79,100033
2007-12-04,120.13,100033
2007-12-06,129.37,100033
2007-12-07,138.22,100033
2007-12-09,142.54,100033
2007-12-10,160.19,100033
2007-12-11,165.92,100033
2007-12-12,190.15,100033
2008-01-01,196.69,100033
2008-01-02,159.08,100033
2008-01-04,128.48,100033
2008-01-07,105.15,100033
2008-01-08,118.2,100033
2008-01-09,116.23,100033
2008-01-10,105.42,100033
2008-01-12,74.02,100033
2008-02-01,200.0,100033
2008-02-04,129.09,100033
2008-02-05,144.35,100033
2008-02-06,132.06,100033
2008-02-07,109.9,100033
2008-02-09,119.91,100033
2008-02-12,73.63,100033
2008-03-01,199.0,100033
2008-03-03,144.49,100033
2008-03-04,129.16,100033
2008-03-06,131.17,100033
2008-03-07,105.94,100033
2008-03-10,102.15,100033
2008-03-11,84.0,100033
2008-03-12,73.75,100033
2008-04-01,201.48,100033
2008-04-02,163.58,100033
2008-04-03,140.93,100033
2008-04-04,125.93,100033
2008-04-06,127.21,100033
2008-04-07,108.24,100033
2008-04-08,118.17,100033
2008-04-09,119.14,100033
2008-04-11,86.2,100033
2008-04-12,76.81,100033
2008-05-02,165.33,100033
2008-05-03,140.47,100033
2008-05-05,144.36,100033
2008-05-06,128.1,100033
2008-05-08,120.68,100033
2008-05-09,116.42,100033
2008-05-11,82.55,100033
2008-05-12,74.85,100033
2008-06-02,161.77,100033
2008-06-05,142.14,100033
2008-06-06,126.36,100033
2008-06-08,120.79,100033
2008-06-10,96.85,100033
2008-06-11,79.84,100033
2008-07-01,200.92,100033
2008-07-02,156.28,100033
2008-07-03,135.09,100033
2008-07-04,128.11,100033
2008-07-05,141.17,100033
2008-07-07,109.21,100033
2008-07-08,121.14,100033
2008-07-10,95.67,100033
2008-07-11,82.0,100033
2008-08-01,198.35,100033
2008-08-02,153.27,100033
2008-08-04,127.6,100033
2008-08-05,139.4,100033
2008-08-07,108.63,100033
2008-08-08,121.13,100033
2008-08-09,118.97,100033
2008-08-10,92.56,100033
2008-08-12,75.94,100033
2008-09-01,199.49,100033
2008-09-04,129.08,100033
2008-09-05,136.47,100033
2008-09-06,121.87,100033
2008-09-07,112.77,100033
2008-09-09,118.44,100033
2008-10-01,193.87,100033
2008-10-03,135.29,100033
2008-10-04,128.27,100033
2008-10-06,120.45,100033
2008-10-07,112.95,100033
2008-10-09,116.82,100033
2008-10-10,86.58,100033
2008-10-11,85.81,100033
2008-10-12,79.48,100033
2008-11-01,194.74,100033
2008-11-02,143.43,100033
2008-11-03,139.02,100033
2008-11-04,129.37,100033
2008-11-06,122.25,100033
2008-11-07,110.17,100033
2008-11-08,123.19,100033
2008-11-09,114.69,100033
2008-11-11,81.2,100033
2008-11-12,79.39,100033
2008-12-02,141.71,100033
2008-12-03,138.88,100033
2008-12-05,137.03,100033
2008-12-06,122.77,100033
2008-12-08,121.22,100033
2008-12-09,112.49,100033
2008-12-11,79.37,100033
2008-12-12,80.33,100033
2009-01-01,83.28,100033
2009-01-04,77.91,100033
2009-01-06,126.53,100033
2009-01-07,123.7,100033
2009-01-09,132.66,100033
2009-01-10,145.78,100033
2009-01-12,149.08,100033
2009-02-01,84.2,100033
2009-02-02,73.45,100033
2009-02-03,69.11,100033
2009-02-04,81.07,100033
2009-02-06,126.96,100033
2009-02-07,123.34,100033
2009-02-09,132.21,100033
2009-02-12,149.64,100033
2009-03-02,73.72,100033
2009-03-03,68.25,100033
2009-03-06,128.6,100033
2009-03-07,124.88,100033
2009-03-08,132.18,100033
2009-03-09,132.1,100033
2009-03-11,134.56,100033
2009-03-12,150.52,100033
2009-04-02,73.7,100033
2009-04-03,68.38,100033
2009-04-05,94.32,100033
2009-04-06,129.75,100033
2009-04-08,131.72,100033
2009-04-09,133.63,100033
2009-04-11,138.79,100033
2009-04-12,149.91,100033
2009-05-01,86.27,100033
2009-05-02,73.09,100033
2009-05-03,66.74,100033
2009-05-05,95.0,100033
2009-05-06,129.94,100033
2009-05-08,132.06,100033
2009-05-10,143.36,100033
2009-05-11,140.98,100033
2009-06-01,87.27,100033
2009-06-02,74.44,100033
2009-06-03,67.24,100033
2009-06-04,82.53,100033
2009-06-05,93.35,100033
2009-06-07,117.25,100033
2009-06-08,129.12,100033
2009-06-10,143.56,100033
2009-06-11,142.6,100033
2009-07-01,80.74,100033
2009-07-05,94.82,100033
2009-07-07,118.14,100033
2009-07-08,125.96,100033
2009-07-09,137.63,100033
2009-07-10,143.75,100033
2009-07-12,148.76,100033
2009-08-04,84.12,100033
2009-08-05,93.62,100033
2009-08-06,123.48,100033
2009-08-07,114.7,100033
2009-08-09,137.77,100033
2009-08-10,144.26,100033
2009-08-12,150.76,100033
2009-09-01,78.16,100033
2009-09-02,76.26,100033
2009-09-03,66.01,100033
2009-09-04,84.89,100033
2009-09-06,127.08,100033
2009-09-07,115.81,100033
2009-09-09,137.18,100033
2009-09-10,142.96,100033
2009-09-11,145.12,100033
2009-09-12,150.13,100033
2009-10-02,76.61,100033
2009-10-06,130.54,100033
2009-10-07,113.47,100033
2009-10-08,124.26,100033
2009-10-09,137.48,100033
2009-10-11,144.46,100033
2009-10-12,150.34,100033
2009-11-02,76.72,100033
2009-11-05,91.68,100033
2009-11-06,130.34,100033
2009-11-08,125.18,100033
2009-11-09,137.29,100033
2009-11-11,147.8,100033
2009-11-12,149.62,100033
2009-12-01,76.02,100033
2009-12-02,76.06,100033
2009-12-03,67.02,100033
2009-12-05,94.56,100033
2009-12-06,128.46,100033
2009-12-08,125.72,100033
2009-12-10,145.69,100033
2009-12-11,146.0,100033
2010-01-02,143.34,100033
2010-01-04,152.21,100033
2010-01-06,145.96,100033
2010-01-07,153.81,100033
2010-01-09,162.26,100033
2010-01-10,177.1,100033
2010-01-11,177.54,100033
2010-01-12,172.59,100033
2010-02-02,141.64,100033
2010-02-03,144.19,100033
2010-02-06,147.43,100033
2010-02-07,153.5,100033
2010-02-08,159.9,100033
2010-02-09,162.63,100033
2010-02-11,177.37,100033
2010-02-12,173.76,100033
2010-03-02,144.49,100033
2010-03-03,146.23,100033
2010-03-05,153.44,100033
2010-03-06,149.64,100033
2010-03-08,160.12,100033
2010-03-09,163.77,100033
2010-03-11,178.66,100033
2010-03-12,172.49,100033
2010-04-01,153.02,100033
2010-04-02,141.94,100033
2010-04-03,146.67,100033
2010-04-05,151.46,100033
2010-04-06,149.92,100033
2010-04-08,160.38,100033
2010-04-10,177.29,100033
2010-04-11,181.51,100033
2010-05-01,153.98,100033
2010-05-02,138.63,100033
2010-05-03,147.2,100033
2010-05-04,153.86,100033
2010-05-05,150.46,100033
2010-05-07,153.3,100033
2010-05-08,159.79,100033
2010-05-10,177.06,100033
2010-06-01,154.26,100033
2010-06-04,153.71,100033
2010-06-05,149.42,100033
2010-06-07,155.02,100033
2010-06-08,159.58,100033
2010-06-09,166.36,100033
2010-06-10,178.24,100033
2010-06-12,172.68,100033
2010-07-01,153.66,100033
2010-07-04,154.52,100033
2010-07-05,146.75,100033
2010-07-06,147.14,100033
2010-07-07,154.41,100033
2010-07-09,166.59,100033
2010-07-10,177.34,100033
2010-07-12,171.5,100033
2010-08-01,152.94,100033
2010-08-02,139.85,100033
2010-08-03,147.8,100033
2010-08-04,153.13,100033
2010-08-06,146.39,100033
2010-08-07,156.25,100033
2010-08-09,166.91,100033
2010-08-10,176.1,100033
2010-08-11,182.15,100033
2010-08-12,169.15,100033
2010-09-02,140.27,100033
2010-09-03,147.06,100033
2010-09-04,154.75,100033
2010-09-06,147.13,100033
2010-09-07,157.84,100033
2010-09-08,161.1,100033
2010-09-09,167.55,100033
2010-09-11,182.65,100033
2010-09-12,163.91,100033
2010-10-02,139.78,100033
2010-10-03,146.93,100033
2010-10-05,151.01,100033
2010-10-06,149.1,100033
2010-10-08,160.66,100033
2010-10-11,182.03,100033
2010-10-12,165.86,100033
2010-11-01,153.61,100033
2010-11-02,141.14,100033
2010-11-03,147.57,100033
2010-11-05,149.6,100033
2010-11-06,149.95,100033
2010-11-08,159.86,100033
2010-11-10,177.15,100033
2010-11-11,179.55,100033
2010-12-01,152.9,100033
2010-12-03,147.32,100033
2010-12-04,154.01,100033
2010-12-05,149.57,100033
2010-12-07,158.79,100033
2010-12-08,160.19,100033
2010-12-10,175.45,100033
2010-12-11,175.94,100033
2011-01-02,151.47,100033
2011-01-03,150.47,100033
2011-01-04,158.21,100033
2011-01-06,154.04,100033
2011-01-07,154.58,100033
2011-01-08,153.41,100033
2011-01-11,141.96,100033
2011-01-12,133.88,100033
2011-02-02,151.47,100033
2011-02-05,155.8,100033
2011-02-06,152.59,100033
2011-02-08,151.85,100033
2011-02-09,143.08,100033
2011-02-11,141.87,100033
2011-02-12,136.45,100033
2011-03-01,174.45,100033
2011-03-02,153.49,100033
2011-03-03,150.79,100033
2011-03-05,152.79,100033
2011-03-06,152.08,100033
2011-03-08,150.42,100033
2011-03-10,135.37,100033
2011-03-11,141.95,100033
2011-04-01,173.82,100033
2011-04-02,149.82,100033
2011-04-03,150.69,100033
2011-04-04,160.5,100033
2011-04-05,152.05,100033
2011-04-07,155.55,100033
2011-04-08,149.22,100033
2011-04-10,133.47,100033
2011-04-11,142.77,100033
2011-05-01,171.88,100033
2011-05-04,161.01,100033
2011-05-05,150.59,100033
2011-05-07,155.23,100033
2011-05-08,146.7,100033
2011-05-09,143.57,100033
2011-05-10,132.63,100033
2011-05-12,136.26,100033
2011-06-01,170.89,100033
2011-06-04,160.91,100033
2011-06-05,153.03,100033
2011-06-06,152.23,100033
2011-06-07,155.54,100033
2011-06-09,143.98,100033
2011-07-01,166.81,100033
2011-07-02,149.25,100033
2011-07-03,148.49,100033
2011-07-04,161.71,100033
2011-07-06,153.02,100033
2011-07-07,158.12,100033
2011-07-09,145.1,100033
2011-07-10,134.93,100033
2011-07-12,136.48,100033
2011-08-02,146.55,100033
2011-08-03,150.03,100033
2011-08-04,160.16,100033
2011-08-06,152.38,100033
2011-08-07,156.71,100033
2011-08-08,144.37,100033
2011-08-09,145.26,100033
2011-08-11,142.86,100033
2011-08-12,134.28,100033
2011-09-02,143.17,100033
2011-09-03,150.21,100033
2011-09-05,152.94,100033
2011-09-06,152.39,100033
2011-09-08,143.34,100033
2011-09-09,143.33,100033
2011-09-11,141.1,100033
2011-09-12,132.28,100033
2011-10-01,162.27,100033
2011-10-02,141.78,100033
2011-10-03,149.18,100033
2011-10-05,152.93,100033
2011-10-06,151.99,100033
2011-10-08,145.2,100033
2011-10-10,136.52,100033
2011-11-01,161.86,100033
2011-11-02,145.43,100033
2011-11-03,147.7,100033
2011-11-04,158.75,100033
2011-11-05,153.94,100033
2011-11-07,155.88,100033
2011-11-08,144.68,100033
2011-11-10,136.54,100033
2011-11-11,140.17,100033
2011-12-01,164.63,100033
2011-12-05,151.84,100033
2011-12-07,154.38,100033
2011-12-08,143.71,100033
2011-12-09,140.07,100033
2011-12-10,139.4,100033
2011-12-12,129.55,100033
2012-01-02,141.25,100033
2012-01-03,143.38,100033
2012-01-06,128.23,100033
2012-01-08,138.83,100033
2012-01-10,151.96,100033
2012-01-11,149.3,100033
2012-02-01,124.51,100033
2012-02-02,142.72,100033
2012-02-03,143.72,100033
2012-02-04,142.6,100033
2012-02-05,140.07,100033
2012-02-07,138.83,100033
2012-02-08,138.92,100033
2012-02-11,150.82,100033
2012-03-01,127.46,100033
2012-03-02,143.91,100033
2012-03-04,144.29,100033
2012-03-05,137.76,100033
2012-03-07,139.23,100033
2012-03-08,138.18,100033
2012-03-09,138.21,100033
2012-03-10,152.58,100033
2012-03-12,159.26,100033
2012-04-01,127.05,100033
2012-04-04,143.78,100033
2012-04-05,134.98,100033
2012-04-06,128.91,100033
2012-04-07,139.76,100033
2012-04-09,138.95,100033
2012-04-10,154.15,100033
2012-04-12,159.85,100033
2012-05-01,127.29,100033
2012-05-03,141.34,100033
2012-05-06,129.01,100033
2012-05-07,141.13,100033
2012-05-09,137.62,100033
2012-05-10,152.99,100033
2012-05-11,150.75,100033
2012-05-12,160.59,100033
2012-06-01,126.93,100033
2012-06-02,145.13,100033
2012-06-03,139.77,100033
2012-06-06,132.1,100033
2012-06-07,140.64,100033
2012-06-08,139.51,100033
2012-06-09,138.21,100033
2012-06-11,151.2,100033
2012-06-12,161.73,100033
2012-07-02,143.59,100033
2012-07-03,139.93,100033
2012-07-05,135.34,100033
2012-07-06,133.66,100033
2012-07-08,141.05,100033
2012-07-09,140.32,100033
2012-07-11,152.6,100033
2012-07-12,161.18,100033
2012-08-02,144.59,100033
2012-08-05,132.53,100033
2012-08-06,134.13,100033
2012-08-08,140.83,100033
2012-08-10,150.84,100033
2012-08-11,151.9,100033
2012-09-01,126.89,100033
2012-09-02,146.2,100033
2012-09-03,143.52,100033
2012-09-04,140.94,100033
2012-09-05,131.6,100033
2012-09-07,139.42,100033
2012-09-08,140.56,100033
2012-09-10,151.77,100033
2012-09-11,150.67,100033
2012-10-01,129.25,100033
2012-10-02,145.54,100033
2012-10-04,140.97,100033
2012-10-05,131.37,100033
2012-10-07,141.4,100033
2012-10-08,140.36,100033
2012-10-09,140.89,100033
2012-10-10,150.37,100033
2012-10-12,160.95,100033
2012-11-01,130.02,100033
2012-11-04,140.48,100033
2012-11-05,130.47,100033
2012-11-06,133.31,100033
2012-11-07,140.42,100033
2012-11-09,141.06,100033
2012-11-10,152.12,100033
2012-11-12,160.26,100033
2012-12-01,129.87,100033
2012-12-03,144.59,100033
2012-12-04,141.76,100033
2012-12-06,134.71,100033
2012-12-07,139.08,100033
2012-12-09,142.39,100033
2012-12-10,151.55,100033
2012-12-11,152.2,100033
2012-12-12,159.84,100033
2013-01-01,163.79,100033
2013-01-02,159.91,100033
2013-01-03,149.62,100033
2013-01-04,146.98,100033
2013-01-07,150.04,100033
2013-01-08,144.05,100033
2013-01-10,149.15,100033
2013-01-11,165.16,100033
2013-02-01,165.01,100033
2013-02-04,148.39,100033
2013-02-05,153.57,100033
2013-02-07,149.21,100033
2013-02-08,142.69,100033
2013-02-09,143.62,100033
2013-02-12,166.77,100033
2013-03-01,165.35,100033
2013-03-04,147.42,100033
2013-03-05,152.32,100033
2013-03-06,152.14,100033
2013-03-07,147.49,100033
2013-03-09,139.17,100033
2013-03-10,152.38,100033
2013-03-12,166.47,100033
2013-04-01,165.43,100033
2013-04-02,159.05,100033
2013-04-03,148.22,100033
2013-04-04,144.35,100033
2013-04-06,151.72,100033
2013-04-07,149.21,100033
2013-04-09,141.83,100033
2013-04-10,152.94,100033
2013-04-12,165.73,100033
2013-05-02,157.82,100033
2013-05-03,150.4,100033
2013-05-04,143.78,100033
2013-05-06,152.35,100033
2013-05-07,149.56,100033
2013-05-08,143.27,100033
2013-05-09,144.14,100033
2013-05-11,164.65,100033
2013-05-12,167.65,100033
2013-06-02,157.99,100033
2013-06-03,151.84,100033
2013-06-05,153.28,100033
2013-06-06,152.34,100033
2013-06-08,140.33,100033
2013-06-09,145.49,100033
2013-06-11,163.8,100033
2013-06-12,168.22,100033
2013-07-01,164.85,100033
2013-07-02,156.98,100033
2013-07-03,152.91,100033
2013-07-05,154.89,100033
2013-07-06,151.35,100033
2013-07-08,139.49,100033
2013-07-10,153.34,100033
2013-07-11,162.43,100033
2013-08-01,164.7,100033
2013-08-02,155.74,100033
2013-08-03,154.79,100033
2013-08-04,143.84,100033
2013-08-05,155.23,100033
2013-08-07,149.09,100033
2013-08-08,140.73,100033
2013-08-10,153.75,100033
2013-08-11,162.51,100033
2013-09-01,164.15,100033
2013-09-04,142.28,100033
2013-09-05,154.61,100033
2013-09-07,150.75,100033
2013-09-10,156.1,100033
2013-09-12,170.59,100033
2013-10-01,163.93,100033
2013-10-04,143.31,100033
2013-10-05,155.67,100033
2013-10-06,150.58,100033
2013-10-07,149.8,100033
2013-10-09,149.47,100033
2013-10-10,156.77,100033
2013-10-12,169.59,100033
2013-11-01,161.96,100033
2013-11-02,155.36,100033
2013-11-03,155.05,100033
2013-11-04,144.7,100033
2013-11-06,148.42,100033
2013-11-07,151.76,100033
2013-11-09,150.91,100033
2013-11-10,158.52,100033
2013-11-11,161.32,100033
2013-11-12,169.16,100033
2013-12-02,155.62,100033
2013-12-03,154.26,100033
2013-12-04,143.62,100033
2013-12-06,147.58,100033
2013-12-07,153.31,100033
2013-12-08,142.99,100033
2013-12-09,149.16,100033
2013-12-11,159.95,100033
2013-12-12,167.63,100033
2014-01-01,174.12,100033
2014-01-04,188.16,100033
2014-01-07,238.62,100033
2014-01-08,226.41,100033
2014-01-09,242.66,100033
2014-01-10,246.44,100033
2014-01-12,276.09,100033
2014-02-01,171.41,100033
2014-02-04,190.97,100033
2014-02-05,189.57,100033
2014-02-06,222.59,100033
2014-02-07,241.58,100033
2014-02-09,244.74,100033
2014-02-12,275.53,100033
2014-03-01,172.09,100033
2014-03-02,164.42,100033
2014-03-03,171.76,100033
2014-03-04,189.21,100033
2014-03-06,224.86,100033
2014-03-07,241.3,100033
2014-03-09,246.95,100033
2014-03-11,257.02,100033
2014-03-12,280.11,100033
2014-04-02,164.16,100033
2014-04-03,173.55,100033
2014-04-04,188.94,100033
2014-04-06,226.8,100033
2014-04-07,241.67,100033
2014-04-08,229.54,100033
2014-04-09,246.36,100033
2014-04-12,280.58,100033
2014-05-02,165.01,100033
2014-05-03,175.71,100033
2014-05-05,189.71,100033
2014-05-06,230.61,100033
2014-05-08,231.31,100033
2014-05-09,246.88,100033
2014-05-11,258.29,100033
2014-05-12,278.73,100033
2014-06-01,171.94,100033
2014-06-02,164.77,100033
2014-06-03,177.81,100033
2014-06-05,190.45,100033
2014-06-06,233.15,100033
2014-06-08,229.43,100033
2014-07-01,171.22,100033
2014-07-02,165.81,100033
2014-07-03,180.43,100033
2014-07-04,188.46,100033
2014-07-05,189.79,100033
2014-07-07,241.88,100033
2014-07-08,228.51,100033
2014-07-10,242.74,100033
2014-07-11,258.39,100033
2014-08-01,171.29,100033
2014-08-05,190.41,100033
2014-08-07,232.36,100033
2014-08-08,224.4,100033
2014-08-09,249.49,100033
2014-08-10,240.86,100033
2014-08-12,275.66,100033
2014-09-01,171.2,100033
2014-09-04,191.33,100033
2014-09-05,196.27,100033
2014-09-06,235.09,100033
2014-09-07,229.44,100033
2014-09-09,249.55,100033
2014-09-10,245.1,100033
2014-09-12,271.12,100033
2014-10-01,170.43,100033
2014-10-02,166.1,100033
2014-10-03,181.1,100033
2014-10-04,192.45,100033
2014-10-06,234.36,100033
2014-10-07,230.74,100033
2014-10-09,248.71,100033
2014-10-10,241.38,100033
2014-10-11,258.35,100033
2014-10-12,273.57,100033
2014-11-02,167.14,100033
2014-11-03,180.29,100033
2014-11-04,191.09,100033
2014-11-06,231.98,100033
2014-11-07,222.93,100033
2014-11-08,225.98,100033
2014-11-09,250.95,100033
2014-11-11,259.98,100033
2014-11-12,271.92,100033
2014-12-02,167.9,100033
2014-12-03,180.05,100033
2014-12-05,200.18,100033
2014-12-06,232.56,100033
2014-12-08,228.11,100033
2014-12-09,251.99,100033
2014-12-11,262.56,100033
2014-12-12,271.01,100033
2015-01-01,278.23,100033
2015-01-04,300.11,100033
2015-01-06,298.4,100033
2015-01-07,299.74,100033
2015-01-09,287.78,100033
2015-01-10,292.05,100033
2015-01-12,288.83,100033
2015-02-01,281.05,100033
2015-02-02,296.4,100033
2015-02-03,304.89,100033
2015-02-06,290.72,100033
2015-02-07,301.21,100033
2015-02-09,286.62,100033
2015-02-11,290.67,100033
2015-02-12,288.24,100033
2015-03-02,295.45,100033
2015-03-03,305.87,100033
2015-03-06,286.68,100033
2015-03-07,300.31,100033
2015-03-08,309.12,100033
2015-03-09,290.81,100033
2015-03-11,291.9,100033
2015-03-12,287.47,100033
2015-04-02,292.39,100033
2015-04-03,303.33,100033
2015-04-05,286.21,100033
2015-04-06,286.19,100033
2015-04-08,311.44,100033
2015-04-09,284.66,100033
2015-04-11,291.03,100033
2015-04-12,285.21,100033
2015-05-01,281.68,100033
2015-05-02,291.42,100033
2015-05-03,304.63,100033
2015-05-05,287.9,100033
2015-05-06,285.92,100033
2015-05-08,314.06,100033
2015-05-10,296.4,100033
2015-05-11,287.74,100033
2015-06-01,273.65,100033
2015-06-02,286.99,100033
2015-06-04,301.71,100033
2015-06-05,278.12,100033
2015-06-07,301.47,100033
2015-06-08,314.37,100033
2015-06-10,296.59,100033
2015-06-11,286.74,100033
2015-07-01,273.56,100033
2015-07-04,302.03,100033
2015-07-05,272.7,100033
2015-07-07,301.83,100033
2015-07-08,312.69,100033
2015-07-09,279.28,100033
2015-07-10,296.33,100033
2015-07-12,284.47,100033
2015-08-01,278.4,100033
2015-08-04,304.58,100033
2015-08-05,279.44,100033
2015-08-06,282.59,100033
2015-08-07,297.68,100033
2015-08-09,282.18,100033
2015-08-10,294.72,100033
2015-08-12,282.6,100033
2015-09-01,278.26,100033
2015-09-02,282.69,100033
2015-09-03,298.64,100033
2015-09-04,305.52,100033
2015-09-06,281.41,100033
2015-09-07,297.89,100033
2015-09-09,287.07,100033
2015-09-10,295.45,100033
2015-09-11,286.24,100033
2015-09-12,278.54,100033
2015-10-02,285.52,100033
2015-10-03,298.18,100033
2015-10-04,305.57,100033
2015-10-06,285.07,100033
2015-10-07,299.19,100033
2015-10-08,311.81,100033
2015-10-09,286.39,100033
2015-10-11,282.61,100033
2015-10-12,280.41,100033
2015-11-02,290.98,100033
2015-11-03,298.54,100033
2015-11-05,284.73,100033
2015-11-06,280.01,100033
2015-11-08,309.31,100033
2015-11-09,287.02,100033
2015-11-12,277.54,100033
2015-12-01,281.08,100033
2015-12-02,294.65,100033
2015-12-03,302.65,100033
2015-12-05,279.8,100033
2015-12-06,279.52,100033
2015-12-08,303.35,100033
2015-12-10,293.42,100033
2016-01-01,294.09,100033
2016-01-02,279.75,100033
2016-01-03,261.24,100033
2016-01-04,281.86,100033
2016-01-06,300.2,100033
2016-01-07,315.99,100033
2016-01-08,340.73,100033
2016-01-09,351.52,100033
2016-01-11,358.3,100033
2016-01-12,325.25,100033
2016-02-02,275.75,100033
2016-02-03,267.23,100033
2016-02-05,291.69,100033
2016-02-06,303.03,100033
2016-02-08,339.2,100033
2016-02-09,353.01,100033
2016-02-11,351.88,100033
2016-02-12,321.13,100033
2016-03-02,273.12,100033
2016-03-03,269.14,100033
2016-03-05,289.55,100033
2016-03-06,304.48,100033
2016-03-08,334.51,100033
2016-03-10,360.84,100033
2016-03-11,349.55,100033
2016-04-01,289.02,100033
2016-04-02,272.1,100033
2016-04-03,270.41,100033
2016-04-04,283.39,100033
2016-04-05,286.63,100033
2016-04-07,317.95,100033
2016-04-08,334.67,100033
2016-04-10,362.13,100033
2016-04-11,343.54,100033
2016-05-01,289.46,100033
2016-05-02,276.33,100033
2016-05-04,277.77,100033
2016-05-05,287.22,100033
2016-05-07,317.07,100033
2016-05-08,340.16,100033
2016-05-10,361.91,100033
2016-05-12,323.01,100033
2016-06-01,289.53,100033
2016-06-04,280.26,100033
2016-06-05,288.48,100033
2016-06-06,304.65,100033
2016-06-09,359.33,100033
2016-06-10,360.33,100033
2016-06-12,323.61,100033
2016-07-01,283.05,100033
2016-07-04,279.0,100033
2016-07-06,306.32,100033
2016-07-07,316.19,100033
2016-07-09,359.09,100033
2016-07-10,358.97,100033
